# This file is part of the supplement to Brune, Williams, Müller: "Potential links between continental rifting, CO2 degassing and climate change through geological time", Nature Geoscience, 2017). 
# For a discussion of how the table was constructed, see the supplementary material of the publication above.
# A map of all rifts including their Region, ID, Time, and Length (visualized via circle size) is provided as separate supplementary figure.
# The table is based on the rift compilation of Şengör, A.M.C., and Natal’in, B.A., 2001: "Rifts of the World", Geological Society of America Special Papers, v. 352, p.389-482, doi: 10.1130/0-8137-2352-3.389
# 
Region,ID,Long_Min,Long_Max,Lat_Min,Lat_Max,Orientation,Name,Length,Width,Old_Age,Young_Age,Kinematic_Type_1,Geometric_Type_1,Kinematic_Type_2,Geometric_Type_2
WEUR,59,7,8.5,38.5,41.25,N,Sardinian west,300,90,Oligocene,,k411,g3,,
WEUR,60,8.5,,39.75,41,N,Othoca,135,20,middle Oligocene,,k411,g3,,
WEUR,61,13,14,50.25,50.67,ENE,Bohemian,70,23,middle Oligocene,,k423,g3,k423,g4
WEUR,62,10,13,78,79,NNW,Hornsund,400,60,middle Oligocene,,k31,g3,,
WEUR,63,11,12,76.5,79,NNW,Forlandsundet,130,20,middle Oligocene,,k31,g3,,
WEUR,64,3.83,4.17,44.83,45.17,NW,Puy et Emblaves,30,10,Oligocene,,k423,g4,,
WEUR,65,4,,45.83,46.5,NNW,Bourgogne,55,20,Oligocene,,k423,g4,,
WEUR,66,4.17,,45.5,,NNW,Forez,50,20,Oligocene,,k423,g4,,
WEUR,67,3.33,4,45.33,47,N,Limagne,160,30,Oligocene,,k423,g4,,
WEUR,68,4.83,,43.83,44.5,N,Valreas,70,15,Oligocene,,k423,g4,,
WEUR,69,5,6,43.33,44.25,NNE,Apt-Forcalquier,110,30,Oligocene,,k411,g3,k411,g4
WEUR,70,4.17,5,43,43.5,"NE,NNE,ENE",Vaccares,90,16,Oligocene,,k411,g3,k411,g4
WEUR,71,3.25,4.5,43,44,NE,Nimes,130,15,Oligocene,,k32,g4,,
WEUR,72,4,8,50,52.5,NW,Lower Rhine,350,80,Eocene,,k421,g1,k31,g1
WEUR,73,4.5,5.5,44.5,47.33,N,Bresse,195,60,late Eocene,,k32,g2,k423,g4
WEUR,74,4.83,5.92,44.75,45.35,NNE,Drome,150,130,late Eocene,,k32,g2,k423,g4
WEUR,75,12.5,13,50.17,50.33,ENE,Sokolov,30,10,late Eocene,,k423,g3,k423,g4
WEUR,76,3.5,4.5,43.5,44.5,NE,Languedoc,200,70,middle Eocene,,k32,g2,k423,g4
WEUR,77,9,,48,,NNE,Kraichgau,175,22,Oligocene,,k421,g1,,
WEUR,78,7.25,8.75,47.5,50.1,NNE,Upper Rhine,350,35,Lutetian,,k421,g1,,
WEUR,79,14.33,14.58,48.83,49.17,NW,Budejovice,25,10,Santonian,,k421,g1,k32,g1
WEUR,80,14.5,15,48.83,49.25,"NW,N",Trebon,70,21,Santonian,,k421,g1,k32,g1
WEUR,81,-20,-14,57.5,59.5,NE,Hatton,450,100,Late Cretaceous,late Eocene,k1,g3,,
WEUR,82,17,20,71,72,NNE,Tromso,110,30,Early Cretaceous,middle Cretaceous,k1,g3,k31,g1
WEUR,83,8.5,12.5,68,69,NE,Rost,170,90,Early Cretaceous,,k1,g3,,
WEUR,84,11.75,12.75,67.5,68,NE,Skomvaer,80,20,Early Cretaceous,,k1,g3,,
WEUR,85,-20,-9,52.5,59.5,NE,Rockall,900,180,Early Cretaceous,,k1,g2,,
WEUR,86,-3.75,-1.75,41.75,42.5,E,Soria,150,75,Late Jurassic,Early Cretaceous,k1,g2,,
WEUR,87,-9.5,-9,38.5,40,NW,Lusitanian,160,40,Oxfordian,,k1,g2,,
WEUR,88,7.5,11,52.25,53,WNW,Lower Saxony,300,65,Late Jurassic,,k32,g1,,
WEUR,89,4,,57.5,60.25,N,Horda-Egersund,320,40,Early Triassic,,k423,g1,,
WEUR,90,10,11,51,53.5,NNE,Weser,240,40,Early Triassic,,k32,g4,,
